DOC_CONTABLE_;TEXTO_BREVE;SALDO_INICIAL;MOVIMIENTOS_CREDITO;SALDO_ACUMULADO;;
1;ACTIVO;3,88E+12;2,23E+13;4,23E+12;;
11;EFECTIVO;41070043057;1,04E+13;14792282951;;
1105;CAJA;41913974;9493786302;31091724;;
110505;EFECTIVO;23693177;9405707498;11534249;;
1105050002;DIVISAS;13535903;11073648;3111149;;
1105050003;EUROS;10157274;2225991;8423100;;
1105050006;CAJA-INCONSISTENCIAS;0;9392407859;0;;
110520;CAJA MENOR;18220797;88078804;19557475;;
1105200001;OTACT: CAJA MENOR;18220797;88078804;19557475;;
1115;BANCOS Y OTRAS ENTIDADES FINANCIERAS;41028129083;1,04E+13;14761191227;;
111505;BANCOS NACIONALES;41028129083;1,04E+13;14761191227;;
1115050150;PL BANCMIA AH6133001;739961723,5;5370957221;1252110686;;
1115050151;PO BANCMIA AH6133001;-177362164,5;18433351002;0;;
1115051030;PRINCIPAL: BANCO AGR;382276415,8;145112147;487067695,3;;
1115051031;POSICION: BANCO AGRA;398873950;1312269103;0;;
1115051060;PRINCIPAL: BANCO DAV;3074102144;58947652843;6422305146;;
1115051061;POSICION: BANCO DAVI;220213796,9;2,29E+11;0;;
1115051070;PRINCIPAL: BANCO DAV;1205558260;3,05E+11;436918797,3;;
1115051071;POSICION: BANCO DAVI;-2252127406;1,05E+12;0;;
1115051160;PRINCIPAL: BANCO DAV;9993831;9993831;0;;
1115051161;POSICION: BANCO DAVI;341889087,5;2023391591;0;;
1115051170;PRINCIPAL: BANCO DAV;6557978,46;1,88E+11;30703975,26;;
1115051171;POSICION: BANCO DAVI;566107203,7;6,43E+11;0;;
1115051190;PRINCIPAL: BANCO DAV;66384,44;0;66384,44;;
1115051920;PRINCIPAL: COLPATRIA;88354,38;0;88354,38;;
1115051921;POSICION: COLPATRIA;-103387381;6463301;0;;
1115052010;PRINCIPAL: BANCO VIL;254503,37;0;254503,37;;
1115052310;PRINCIPAL: BANCO OCC;503198110,6;2352750879;155695168,7;;
1115052311;POSICION: BANCO OCCI;7528120,96;8705860867;0;;
1115052340;PRINCIPAL: HELM BANK;229984692,7;86259250;143883590,7;;
1115052341;PRINCIPAL: HELM BANK;325864792,6;823230515,1;0;;
1115053010;PRINCIPAL: BANCO OCC;279421147,6;1342019938;1324979143;;
1115053011;POSICION: BANCO OCCI;65406614,88;6447795463;0;;
1115053050;PRIN: BBVA ADQUIREN;17382308,73;4011201264;161135587,4;;
1115053051;POS: BBVA ADQUIREN;-232972388,8;16676747674;0;;
1115053070;PRINCIPAL: BANCO BBV;101984963,6;10057376417;77033258,06;;
1115053071;POSICION: BANCO BBVA;-1003320133;41834242075;0;;
1115054010;EFECTIVO;2337418,65;841248089;8322527,65;;
1115054011;EFECTIVO;411655898,3;4033698351;0;;
1115056010;EFECTIVO;6467367,92;0;6467367,92;;
1115056011;EFECTIVO;0;1243053,36;0;;
1115056211;EFECTIVO;10411500;10411500;0;;
1115057010;EFECTIVO;490853820,4;13158906751;643086961,1;;
1115057011;EFECTIVO;-229245975,7;46094880645;0;;
1115057031;EFECTIVO;3723940;7563470;0;;
1115057170;EFECTIVO;0;30865055988;458284905,2;;
1115057171;EFECTIVO;4840025129;66260208223;0;;
