TIPO;ENTIDAD;CONCEPTO_XBRL;RELACION_ENTIDAD;CONCEPTO;NO_FACTURA_;DETALLE_DE_LA_OPERACION_;FECHA_DE_DOCUMENTO;DOC_CONTABLE_;CUENTA_CONTABLE;IMPORTE;VALOR_IVA_;FECHA_CORTE
Ingresos;Promotora Chilena S.A.;Asociadas [miembro];Asociadas;Venta de bienes;FX4120014220;Venta de producto;1/08/2023;1900000858;;-306602235;0;31/12/2023
Ingresos;Promotora Chilena S.A.;Asociadas [miembro];Asociadas;Venta de bienes;FX4120014220;Venta de producto;28/07/2023;9100245128;;306602235;0;31/12/2023
Ingresos;Promotora Chilena S.A.;Asociadas [miembro];Asociadas;Venta de bienes;FX4120014220;Venta de producto;28/07/2023;2300012285;;-306602235;0;31/12/2023
Ingresos;Promotora Chilena S.A.;Asociadas [miembro];Asociadas;Venta de bienes;FX4120014231;Venta de producto;17/08/2023;2300013646;;-863690498;0;31/12/2023
Ingresos;Promotora Chilena S.A.;Asociadas [miembro];Asociadas;Venta de bienes;FX/4120014242;Venta de producto;18/08/2023;2300013755;;-532719585;0;31/12/2023
Ingresos;Promotora Chilena S.A.;Asociadas [miembro];Asociadas;Venta de bienes;FX4120014243;Venta de producto;18/08/2023;2300013756;;-666110669;0;31/12/2023
Ingresos;Promotora Chilena S.A.;Asociadas [miembro];Asociadas;Venta de bienes;FX4120014244;Venta de producto;18/08/2023;2300013757;;-130355043;0;31/12/2023
Ingresos;Promotora Chilena S.A.;Asociadas [miembro];Asociadas;Venta de bienes;FX4120014245;Venta de producto;;2300013766;;-446793256;0;31/12/2023
Ingresos;Promotora Chilena S.A.;Asociadas [miembro];Asociadas;Venta de bienes;FX4120014246;Venta de producto;;2300013767;;-16739478;0;31/12/2023
Ingresos;Promotora Chilena S.A.;Asociadas [miembro];Asociadas;Venta de bienes;FX4120014246;Venta de producto;;2300013767;;-6402160;0;31/12/2023
Ingresos;Promotora Chilena S.A.;Asociadas [miembro];Asociadas;Venta de bienes;FX4120014267;Venta de producto;;2300015410;;-310275072;0;31/12/2023
Ingresos;Promotora Chilena S.A.;Asociadas [miembro];Asociadas;Venta de bienes;FX4120014268;Venta de producto;;2300015411;;-8362873;0;31/12/2023
Ingresos;Promotora Chilena S.A.;Asociadas [miembro];Asociadas;Venta de bienes;FX4120014268;Venta de producto;;2300015411;;-3255439;0;31/12/2023
Ingresos;Promotora Chilena S.A.;Asociadas [miembro];Asociadas;Venta de bienes;FX4120014269;Venta de producto;;2300015412;;-140785187;0;31/12/2023
Ingresos;Promotora Chilena S.A.;Asociadas [miembro];Asociadas;Venta de bienes;FX4120014270;Venta de producto;;2300015413;;-473916923;0;31/12/2023
Ingresos;Promotora Chilena S.A.;Asociadas [miembro];Asociadas;Venta de bienes;FX4120014288;Venta de producto;;2300015914;;-505062154;0;31/12/2023
Ingresos;Promotora Chilena S.A.;Asociadas [miembro];Asociadas;Venta de bienes;FX4120014289;Venta de producto;;2300015915;;-840930503;0;31/12/2023
Ingresos;Promotora Chilena S.A.;Asociadas [miembro];Asociadas;Venta de bienes;FX4120014290;Venta de producto;;2300015919;;-825615873;0;31/12/2023
Ingresos;Promotora Chilena S.A.;Asociadas [miembro];Asociadas;Venta de bienes;FX4120014291;Venta de producto;;2300015920;;-490215668;0;31/12/2023
Ingresos;Promotora Chilena S.A.;Asociadas [miembro];Asociadas;Venta de bienes;FX4120014292;Venta de producto;;2300015921;;-149486628;0;31/12/2023
Ingresos;Promotora Chilena S.A.;Asociadas [miembro];Asociadas;Venta de bienes;NC-0640021227;Venta de producto;;2200002753;;15839337;0;31/12/2023
Ingresos;Promotora Chilena S.A.;Asociadas [miembro];Asociadas;Venta de bienes;NC-0640021575;Venta de producto;;2200003028;;26440853;0;31/12/2023
Ingresos;Promotora Chilena S.A.;Asociadas [miembro];Asociadas;Venta de bienes;NC-0640021608;Venta de producto;;2200003059;;2547962;0;31/12/2023
Ingresos;Promotora Chilena S.A.;Asociadas [miembro];Asociadas;Venta de bienes;FX-4120014316;Venta de producto;;2300017339;;-618393610;0;31/12/2023
Ingresos;Promotora Chilena S.A.;Asociadas [miembro];Asociadas;Venta de bienes;FX-4120014317;Venta de producto;;2300017391;;-273613856;0;31/12/2023
Ingresos;Promotora Chilena S.A.;Asociadas [miembro];Asociadas;Venta de bienes;FX-4120014318;Venta de producto;;2300017392;;-3420998;0;31/12/2023
Ingresos;Promotora Chilena S.A.;Asociadas [miembro];Asociadas;Venta de bienes;FX-4120014319;Venta de producto;;2300017393;;-238071655;0;31/12/2023
Ingresos;Promotora Chilena S.A.;Asociadas [miembro];Asociadas;Venta de bienes;FX-4120014320;Venta de producto;13/10/2023;2300017394;;-87491130;0;31/12/2023
Ingresos;Promotora Chilena S.A.;Asociadas [miembro];Asociadas;Venta de bienes;FX-4120014362;Venta de producto;10/11/2023;2300019349;;-503809025;0;31/12/2023
Ingresos;Promotora Chilena S.A.;Asociadas [miembro];Asociadas;Venta de bienes;FX-4120014363;Venta de producto;10/11/2023;2300019350;;-50664284;0;31/12/2023
Ingresos;Promotora Chilena S.A.;Asociadas [miembro];Asociadas;Venta de bienes;FX-4120014364;Venta de producto;10/11/2023;2300019351;;-134671178;0;31/12/2023
Ingresos;Promotora Chilena S.A.;Asociadas [miembro];Asociadas;Venta de bienes;FX-4120014365;Venta de producto;11/11/2023;2300019373;;-397525668;0;31/12/2023
Ingresos;Promotora Chilena S.A.;Asociadas [miembro];Asociadas;Venta de bienes;FX-4120014366;Venta de producto;17/11/2023;2300019620;;-564580813;0;31/12/2023
Ingresos;Promotora Chilena S.A.;Asociadas [miembro];Asociadas;Venta de bienes;FX-4120014367;Venta de producto;17/11/2023;2300019621;;-3237243;0;31/12/2023
Ingresos;Promotora Chilena S.A.;Asociadas [miembro];Asociadas;Venta de bienes;FX-4120014368;Venta de producto;17/11/2023;2300019622;;-371976615;0;31/12/2023
Ingresos;Promotora Chilena S.A.;Asociadas [miembro];Asociadas;Venta de bienes;FX-4120014424;Venta de producto;12/12/2023;2300021284;;-50585556;0;31/12/2023
Ingresos;Promotora Chilena S.A.;Asociadas [miembro];Asociadas;Venta de bienes;FX-4120014425;Venta de producto;12/12/2023;2300021285;;-24373776;0;31/12/2023
Ingresos;Promotora Chilena S.A.;Asociadas [miembro];Asociadas;Venta de bienes;FX-4120014426;Venta de producto;12/12/2023;2300021286;;-410911921;0;31/12/2023
Inventario - Costo - Gasto;Promotora Chilena S.A.;Asociadas [miembro];Asociadas;Compras de servicios;DSC DSP 5407;Servicios;10/05/2023;4100010436;;29097900;5528601;31/12/2023
Inventario - Costo - Gasto;Promotora Chilena S.A.;Asociadas [miembro];Asociadas;Compras de servicios;DSC DSP 5647;Servicios;12/06/2023;4100016635;;95026392;18055003;31/12/2023
Inventario - Costo - Gasto;Promotora Chilena S.A.;Asociadas [miembro];Asociadas;Compras de servicios;DSC DSP 5785;Servicios;6/07/2023;4100020612;;103202000;19608380;31/12/2023
Inventario - Costo - Gasto;Promotora Chilena S.A.;Asociadas [miembro];Asociadas;Compras de servicios;DSC DSP -5903;Servicios;12/10/2023;4100024458;;228966273;43503592;31/12/2023
Inventario - Costo - Gasto;Promotora Chilena S.A.;Asociadas [miembro];Asociadas;Compras de servicios;DSC DSP -5904;Servicios;12/10/2023;4100024459;;162101600;30799304;31/12/2023
